
 The epoch is 760, average recall: 0.7586, average precision: 0.8302,average F1: 0.7928, average accuracy: 0.8051, average AUC: 0.8951
 The epoch is 770, average recall: 0.7069, average precision: 0.8200,average F1: 0.7593, average accuracy: 0.7797, average AUC: 0.8899
 The epoch is 780, average recall: 0.7931, average precision: 0.7931,average F1: 0.7931, average accuracy: 0.7966, average AUC: 0.8891
 The epoch is 790, average recall: 0.8448, average precision: 0.8033,average F1: 0.8235, average accuracy: 0.8220, average AUC: 0.9046
 The epoch is 800, average recall: 0.8448, average precision: 0.8167,average F1: 0.8305, average accuracy: 0.8305, average AUC: 0.9014
 The epoch is 810, average recall: 0.8103, average precision: 0.7966,average F1: 0.8034, average accuracy: 0.8051, average AUC: 0.8934
 The epoch is 820, average recall: 0.8621, average precision: 0.7692,average F1: 0.8130, average accuracy: 0.8051, average AUC: 0.8997
 The epoch is 830, average recall: 0.8276, average precision: 0.8136,average F1: 0.8205, average accuracy: 0.8220, average AUC: 0.9098
 The epoch is 840, average recall: 0.8621, average precision: 0.8065,average F1: 0.8333, average accuracy: 0.8305, average AUC: 0.9175
 The epoch is 850, average recall: 0.8448, average precision: 0.8167,average F1: 0.8305, average accuracy: 0.8305, average AUC: 0.9147
 The epoch is 860, average recall: 0.8276, average precision: 0.7869,average F1: 0.8067, average accuracy: 0.8051, average AUC: 0.8848
 The epoch is 870, average recall: 0.8103, average precision: 0.8103,average F1: 0.8103, average accuracy: 0.8136, average AUC: 0.9014
 The epoch is 880, average recall: 0.8103, average precision: 0.7833,average F1: 0.7966, average accuracy: 0.7966, average AUC: 0.8966
 The epoch is 890, average recall: 0.8966, average precision: 0.7879,average F1: 0.8387, average accuracy: 0.8305, average AUC: 0.9112
 The epoch is 900, average recall: 0.8103, average precision: 0.7966,average F1: 0.8034, average accuracy: 0.8051, average AUC: 0.8960
 The epoch is 910, average recall: 0.8448, average precision: 0.7778,average F1: 0.8099, average accuracy: 0.8051, average AUC: 0.8957
 The epoch is 920, average recall: 0.7759, average precision: 0.7895,average F1: 0.7826, average accuracy: 0.7881, average AUC: 0.9043
 The epoch is 930, average recall: 0.8103, average precision: 0.7581,average F1: 0.7833, average accuracy: 0.7797, average AUC: 0.9020
 The epoch is 940, average recall: 0.8448, average precision: 0.7778,average F1: 0.8099, average accuracy: 0.8051, average AUC: 0.9023
 The epoch is 950, average recall: 0.8621, average precision: 0.7353,average F1: 0.7937, average accuracy: 0.7797, average AUC: 0.8839
 The epoch is 960, average recall: 0.8448, average precision: 0.7778,average F1: 0.8099, average accuracy: 0.8051, average AUC: 0.9034
 The epoch is 970, average recall: 0.8793, average precision: 0.8095,average F1: 0.8430, average accuracy: 0.8390, average AUC: 0.9101
 The epoch is 980, average recall: 0.8793, average precision: 0.8095,average F1: 0.8430, average accuracy: 0.8390, average AUC: 0.9121
 The epoch is 990, average recall: 0.7931, average precision: 0.8070,average F1: 0.8000, average accuracy: 0.8051, average AUC: 0.9026
 The epoch is 1000, average recall: 0.8621, average precision: 0.7812,average F1: 0.8197, average accuracy: 0.8136, average AUC: 0.9141
